Date,Open,High,Low,Close,Adj Close,Volume
2015-08-22,15361.229492,15512.753906,14703.763672,15211.223633,15211.223633,1532141700.0
2015-08-23,15210.299805,15364.068359,14893.648438,15064.584961,15064.584961,1215273677.0
2015-08-24,15060.821289,15062.604492,14058.517578,14061.992188,14061.992188,3956203331.0
2015-08-25,14033.46582,14989.896484,13331.954102,14688.354492,14688.354492,4049022720.0
2015-08-26,14719.308594,15291.668945,14610.535156,14917.085938,14917.085938,2101051993.0
2015-08-27,14931.551758,15090.049805,14774.776367,14846.441406,14846.441406,1446895480.0
2015-08-28,14841.951172,15566.62793,14578.641602,15304.53125,15304.53125,2072602724.0
2015-08-29,15314.650391,15425.302734,15035.606445,15197.649414,15197.649414,1133804950.0
2015-08-30,15205.255859,15348.977539,14963.976563,15126.821289,15126.821289,1283658175.0
2015-08-31,15150.163086,15386.174805,14993.978516,15263.663086,15263.663086,1374105239.0
2015-09-01,15276.932617,15352.095703,15043.086914,15151.706055,15151.706055,1366596553.0
2015-09-02,15145.461914,15252.991211,14991.512695,15180.961914,15180.961914,1242131712.0
2015-09-03,15183.611328,15211.376953,15004.222656,15029.950195,15029.950195,1156572407.0
2015-09-04,15032.067383,15395.303711,15021.216797,15355.165039,15355.165039,1397672212.0
2015-09-05,15348.564453,15744.881836,15298.157227,15669.938477,15669.938477,1378269729.0
2015-09-06,15660.003906,16196.206055,15647.402344,16010.518555,16010.518555,1700496843.0
2015-09-07,16016.794922,16173.165039,15932.306641,16021.803711,16021.803711,1415641079.0
2015-09-08,16021.736328,16373.316406,16027.938477,16176.210938,16176.210938,1784856829.0
2015-09-09,16163.461914,16226.77832,15791.314453,15860.44043,15860.44043,1573983987.0
2015-09-10,15871.62793,16047.673828,15701.322266,15814.84082,15814.84082,1406927098.0
2015-09-11,15805.025391,16030.503906,15805.025391,15902.526367,15902.526367,1273271105.0
2015-09-12,15885.835938,15903.652344,15547.992188,15579.452148,15579.452148,1189680960.0
2015-09-13,15580.313477,15626.210938,15188.887695,15269.759766,15269.759766,1224087452.0
2015-09-14,15276.185547,15417.210938,15123.091797,15294.464844,15294.464844,1392406113.0
2015-09-15,15284.385742,17209.400391,15268.569336,15298.196289,15298.196289,1273906460.0
2015-09-16,15294.609375,15368.860352,15113.136719,15164.220703,15164.220703,1333405030.0
2015-09-17,15163.227539,15264.902344,15158.05957,15194.830078,15194.830078,1251991606.0
2015-09-18,15440.198242,15409.295898,15280.976563,15343.314453,15343.314453,1333114856.0
2015-09-19,15335.608398,15358.461914,15219.105469,15245.711914,15245.711914,837228953.0
2015-09-20,15239.521484,15303.140625,15207.317383,15222.466797,15222.466797,951005825.0
2015-09-21,15222.794922,15222.794922,14890.856445,14928.114258,14928.114258,1293644954.0
2015-09-22,14920.487305,15297.970703,14775.554688,15191.453125,15191.453125,1647432617.0
2015-09-23,15212.401367,15293.714844,15166.78125,15235.292969,15235.292969,1141514001.0
2015-09-24,15240.254883,15576.422852,15219.850586,15530.06543,15530.06543,1661928630.0
2015-09-25,15519.005859,15698.412109,15462.589844,15557.080078,15557.080078,1479571303.0
2015-09-26,15552.581055,15574.21582,15438.918945,15503.887695,15503.887695,907983711.0
2015-09-27,15490.589844,15516.193359,15375.962891,15401.53125,15401.53125,938283982.0
2015-09-28,15406.757813,15857.956055,15381.992188,15844.90332,15844.90332,1637416654.0
2015-09-29,15836.555664,15888.632813,15566.977539,15601.625977,15601.625977,1495735614.0
2015-09-30,15598.52832,15638.142578,15485.538086,15467.666016,15467.666016,1293679017.0
2015-10-01,15463.99707,15638.391602,15448.163086,15586.991211,15586.991211,1344391051.0
2015-10-02,15568.291016,15633.977539,15463.046875,15508.141602,15508.141602,1286037347.0
2015-10-03,15502.194336,15640.288086,15485.333008,15602.055664,15602.055664,1077216968.0
2015-10-04,15589.050781,15617.610352,15550.425781,15571.274414,15571.274414,849541845.0
2015-10-05,15563.954102,15653.740234,15473.645508,15653.740234,15653.740234,1519633808.0
2015-10-06,15652.503906,16094.951172,15654.322266,16039.149414,16039.149414,1794823176.0
2015-10-07,16046.124023,16087.992188,15752.5,15777.43457,15777.43457,1493476051.0
2015-10-08,15784.318359,15910.510742,15770.696289,15748.063477,15748.063477,1203364892.0
2015-10-09,15760.672852,15796.47168,15721.199219,15799.362305,15799.362305,1123956816.0
2015-10-10,15786.991211,15889.262695,15743.854492,15864.779297,15864.779297,1030662396.0
2015-10-11,15851.890625,16013.805664,15813.675781,16001.304688,16001.304688,1089895807.0
2015-10-12,15989.970703,16031.777344,15872.005859,15891.00293,15891.00293,1126410596.0
2015-10-13,15884.006836,16297.444336,15822.486328,16238.554688,16238.554688,1835223236.0
2015-10-14,16237.578125,16490.496094,16201.71875,16340.553711,16340.553711,1780847998.0
2015-10-15,16348.206055,16571.005859,16330.211914,16475.283203,16475.283203,1634021209.0
2015-10-16,16473.726563,17222.314453,16448.869141,17005.810547,17005.810547,2322579329.0
2015-10-17,16997.917969,17698.609375,16973.333984,17508.541016,17508.541016,2794716042.0
2015-10-18,17525.814453,17575.044922,16870.472656,16920.845703,16920.845703,1450859832.0
2015-10-19,16934.943359,17157.6875,16912.886719,17109.707031,17109.707031,1640508542.0
2015-10-20,17118.474609,17591.871094,17087.380859,17512.859375,17512.859375,2007580614.0
2015-10-21,17502.654297,17634.572266,17186.472656,17349.271484,17349.271484,1670429046.0
2015-10-22,17363.867188,17995.271484,17326.453125,17824.566406,17824.566406,2459362470.0
2015-10-23,17800.236328,18094.951172,17793.34375,17939.751953,17939.751953,1910303006.0
2015-10-24,17940.271484,18277.789063,17940.271484,18274.416016,18274.416016,1683207768.0
2015-10-25,18260.855469,19079.283203,18260.855469,18411.115234,18411.115234,2967085507.0
2015-10-26,18407.740234,18515.597656,18233.150391,18515.597656,18515.597656,2083819378.0
2015-10-27,18507.876953,19284.378906,18496.648438,19115.050781,19115.050781,3014536868.0
2015-10-28,19109.521484,19862.837891,19109.521484,19782.990234,19782.990234,3299660923.0
2015-10-29,19763.896484,20792.410156,19601.472656,20539.613281,20539.613281,4220805183.0
2015-10-30,20545.371094,21779.464844,20544.705078,21456.380859,21456.380859,5122149304.0
2015-10-31,21488.888672,21767.875,20228.974609,20550.476563,20550.476563,3178937795.0
2015-11-01,20605.359375,21420.761719,20401.009766,21271.960938,21271.960938,2418595402.0
2015-11-02,21305.361328,23950.699219,21136.027344,23671.603516,23671.603516,6679501884.0
2015-11-03,23716.431641,27383.900391,23431.636719,26435.390625,26435.390625,13509527849.0
2015-11-04,26451.578125,32411.986328,24951.658203,26991.207031,26991.207031,17307142580.0
2015-11-05,26762.587891,29374.546875,24608.097656,25441.412109,25441.412109,9997675723.0
2015-11-06,25552.894531,26176.634766,23297.5,24763.701172,24763.701172,8113291310.0
2015-11-07,24750.410156,25829.451172,24628.996094,25558.054688,25558.054688,3744617863.0
2015-11-08,25412.304688,25783.755859,24382.130859,24690.826172,24690.826172,3426697888.0
2015-11-09,24754.046875,25580.533203,23998.246094,25273.78125,25273.78125,4534534746.0
2015-11-10,25255.636719,25316.46875,21783.658203,22294.048828,22294.048828,6340863265.0
2015-11-11,22492.685547,22543.320313,19922.992188,20548.654297,20548.654297,7072508850.0
2015-11-12,20746.488281,22782.248047,20698.730469,22331.558594,22331.558594,5182673911.0
2015-11-13,22354.40625,22513.960938,21571.882813,22242.097656,22242.097656,3434730546.0
2015-11-14,22233.576172,22336.416016,21794.089844,21988.009766,21988.009766,2550272404.0
2015-11-15,21997.585938,22103.988281,20969.800781,21146.482422,21146.482422,2920208935.0
2015-11-16,21118.015625,21845.630859,20896.009766,21794.705078,21794.705078,3161629497.0
2015-11-17,21769.072266,22309.988281,21719.783203,22127.597656,22127.597656,3367839654.0
2015-11-18,22094.513672,22236.623047,21863.570313,22107.029297,22107.029297,2892883233.0
2015-11-19,22112.910156,22154.511719,21494.886719,21552.773438,21552.773438,2974450516.0
2015-11-20,21570.087891,21572.421875,20622.808594,21268.876953,21268.876953,3510637423.0
2015-11-21,21273.5,21674.212891,21108.578125,21592.841797,21592.841797,1862583803.0
2015-11-22,21596.011719,21598.324219,21218.482422,21458.970703,21458.970703,1549860006.0
2015-11-23,21446.671875,21558.25,21324.017578,21440.044922,21440.044922,1823730626.0
2015-11-24,21437.923828,21442.685547,21104.902344,21218.345703,21218.345703,1946675782.0
2015-11-25,21218.28125,21837.316406,21016.421875,21786.017578,21786.017578,2765811321.0
2015-11-26,21792.458984,24411.345703,21784.230469,23474.646484,23474.646484,7062348800.0
2015-11-27,23419.867188,24267.748047,23256.847656,23952.113281,23952.113281,3691343842.0
2015-11-28,23891.839844,24052.060547,23559.425781,23907.896484,23907.896484,2462938498.0
2015-11-29,23913.982422,24845.896484,23793.166016,24802.810547,24802.810547,2699381649.0
2015-11-30,24812.363281,25499.789063,24619.802734,25093.960938,25093.960938,4768557928.0
2015-12-01,25100.144531,25191.332031,23699.208984,24090.228516,24090.228516,4017532307.0
2015-12-02,24047.494141,24115.740234,23224.814453,23905.332031,23905.332031,3604597917.0
2015-12-03,23914.914063,24707.525391,23904.070313,24118.125,24118.125,3387790820.0
2015-12-04,24132.554688,24235.501953,23815.083984,24199.974609,24199.974609,2384401935.0
2015-12-05,24235.822266,25972.544922,24203.039063,25916.839844,25916.839844,4416581832.0
2015-12-06,25957.21875,26840.371094,25792.900391,25923.039063,25923.039063,5184967978.0
2015-12-07,26002.71875,26677.972656,25698.166016,26408.199219,26408.199219,4236664560.0
2015-12-08,26422.753906,27772.158203,26046.710938,27772.158203,27772.158203,3862879122.0
2015-12-09,27697.175781,28277.109375,27152.914063,27929.828125,27929.828125,6081242398.0
2015-12-10,27958.255859,28058.314453,27483.175781,27747.267578,27747.267578,3482033869.0
2015-12-11,27734.042969,30342.439453,27734.042969,30342.439453,30342.439453,7448613743.0
2015-12-12,30369.09375,31494.871094,27576.535156,29205.046875,29205.046875,8860200706.0
2015-12-13,28981.005859,29653.732422,28618.994141,29121.660156,29121.660156,3696014708.0
2015-12-14,29089.232422,30000.097656,28900.169922,29790.220703,29790.220703,8752053529.0
